ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(¯C),Water Temp(¯C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
615706701,Photo,Red-tailed Hawk (borealis),Buteo jamaicensis borealis,,David Factor,09-02-2024,2024,2,9,1706,United States,US-OH-055,Ohio,Geauga,Troy Wetlands,41.360468,-81.142097,Adult ? 1,Flying,Unspecified,,,,,,,,,S161053640,,,,,"Two pairs circling together, one to east one to west.",Buteo jamaicensis,erthaw1,Group,8316,,0,0,,1358,2048
615705577,Photo,Red-tailed Hawk,Buteo jamaicensis,,Michael O'Neill,01-02-2024,2024,2,1,1416,United States,US-OH-041,Ohio,Delaware,McCammon Creek Park--Red Fox Trail,40.1729588,-82.9664135,,,Unspecified,,,,,,,,,S160360989,,,,,,Buteo jamaicensis,rethaw,Species,8312,,0,0,,3456,5184
615705555,Photo,Red-tailed Hawk,Buteo jamaicensis,,Michael O'Neill,01-02-2024,2024,2,1,1416,United States,US-OH-041,Ohio,Delaware,McCammon Creek Park--Red Fox Trail,40.1729588,-82.9664135,,,Unspecified,,,,,,,,,S160360989,,,,,,Buteo jamaicensis,rethaw,Species,8312,,0,0,,3456,5184
615705390,Photo,Red-tailed Hawk,Buteo jamaicensis,,Jef Blake,05-03-2024,2024,3,5,1616,United States,US-WA-071,Washington,Walla Walla,McNary NWR--Donangelo Overlook,46.197136,-118.943873,,,Unspecified,,,,,,,,,S163848810,,,,,,Buteo jamaicensis,rethaw,Species,8312,,0,0,,1603,2400
615705331,Photo,Red-tailed Hawk,Buteo jamaicensis,,Elisa Shaw,20-02-2024,2024,2,20,1500,United States,US-RI-009,Rhode Island,Washington,Trustom Pond NWR,41.372185,-71.58563,,,Unspecified,,,,,,,,,S162595008,,,,,,Buteo jamaicensis,rethaw,Species,8312,,0,0,,2400,3323
615705305,Photo,Red-tailed Hawk,Buteo jamaicensis,,David Telles,05-03-2024,2024,3,5,803,United States,US-CA-059,California,Orange,Chino Hills SP--Coal Canyon (ORA Co.),33.8669948,-117.688036,,,Unspecified,,,,,,,,,S163823544,,,,,,Buteo jamaicensis,rethaw,Species,8312,,0,0,,1536,2048
615705198,Photo,Red-tailed Hawk,Buteo jamaicensis,,Ingrid Maksander,03-03-2024,2024,3,3,1300,Canada,CA-QC-VS,Quebec,Vaudreuil-Soulanges,Chemin des Prairies,45.4674703,-74.2332698,Adult Female ? 1,"Courtship, Display, or Copulation",Unspecified,,,,,,,,,S163869977,,,,,,Buteo jamaicensis,rethaw,Species,8312,,2,1,,4640,6960
615705197,Photo,Red-tailed Hawk,Buteo jamaicensis,,Ingrid Maksander,03-03-2024,2024,3,3,1300,Canada,CA-QC-VS,Quebec,Vaudreuil-Soulanges,Chemin des Prairies,45.4674703,-74.2332698,Adult Male ? 1,"Courtship, Display, or Copulation",Unspecified,,,,,,,,,S163869977,,,,,,Buteo jamaicensis,rethaw,Species,8312,,3,1,,2000,3000
615700782,Photo,Red-tailed Hawk,Buteo jamaicensis,,Mark Chappell,05-03-2024,2024,3,5,1130,United States,US-CA-053,California,Monterey,Big Sur coast--Grimes Pt.,36.2055508,-121.7354894,,,Unspecified,,,,,,,,,S163856974,,,,,,Buteo jamaicensis,rethaw,Species,8312,,0,0,,1553,2234
615700783,Photo,Red-tailed Hawk,Buteo jamaicensis,,Mark Chappell,05-03-2024,2024,3,5,1130,United States,US-CA-053,California,Monterey,Big Sur coast--Grimes Pt.,36.2055508,-121.7354894,,,Unspecified,,,,,,,,,S163856974,,,,,,Buteo jamaicensis,rethaw,Species,8312,,0,0,,1876,2547
615700267,Photo,Red-tailed Hawk,Buteo jamaicensis,,Kathryn Alexander,05-03-2024,2024,3,5,1549,United States,US-OR-039,Oregon,Lane,K.R. Nielsen Rd.,44.0465117,-123.2499504,,,Unspecified,,,,,,,,,S163855271,,,,,,Buteo jamaicensis,rethaw,Species,8312,,0,0,,1366,2048
615700060,Photo,Red-tailed Hawk,Buteo jamaicensis,,Kisa Weeman,29-02-2024,2024,2,29,1018,United States,US-OH-169,Ohio,Wayne,Killbuck Marsh Wildlife Area--Willow Rd.,40.7054978,-81.9824696,,,Unspecified,,,,,,,,,S163262287,,,,,,Buteo jamaicensis,rethaw,Species,8312,,0,0,,2903,2431
615700061,Photo,Red-tailed Hawk,Buteo jamaicensis,,Kisa Weeman,29-02-2024,2024,2,29,1018,United States,US-OH-169,Ohio,Wayne,Killbuck Marsh Wildlife Area--Willow Rd.,40.7054978,-81.9824696,,,Unspecified,,,,,,,,,S163262287,,,,,,Buteo jamaicensis,rethaw,Species,8312,,0,0,,2869,2220
615700031,Photo,Red-tailed Hawk,Buteo jamaicensis,,Lauri Taylor,05-03-2024,2024,3,5,1256,United States,US-UT-051,Utah,Wasatch,Potters Lane & Vicinity,40.5441348,-111.4274597,,,Unspecified,,,,,,,,,S163834010,,,,,,Buteo jamaicensis,rethaw,Species,8312,,4,1,,1844,2391
615700030,Photo,Red-tailed Hawk,Buteo jamaicensis,,Lauri Taylor,05-03-2024,2024,3,5,1256,United States,US-UT-051,Utah,Wasatch,Potters Lane & Vicinity,40.5441348,-111.4274597,,,Unspecified,,,,,,,,,S163834010,,,,,,Buteo jamaicensis,rethaw,Species,8312,,5,1,,2387,2806
615698790,Photo,Red-tailed Hawk (calurus/alascensis),Buteo jamaicensis calurus/alascensis,,Paul Fenwick,05-03-2024,2024,3,5,1706,United States,US-CA-053,California,Monterey,US-CA-Carmel Valley Village-336 El Caminito Rd,36.488478,-121.721213,,,Unspecified,,,,,,,,,S163846513,,,,,,Buteo jamaicensis,wrthaw1,Group,8313,,3,1,,1572,2620
615698704,Photo,Red-tailed Hawk,Buteo jamaicensis,,David Wade,05-03-2024,2024,3,5,1606,United States,US-CO-069,Colorado,Larimer,"Salyer,  McMurry and Magpie Meander Natural Areas",40.6023459,-105.0882947,,,Unspecified,,,,,,,,,S163841281,,,,,,Buteo jamaicensis,rethaw,Species,8312,,0,0,,1279,1920
615698636,Photo,Red-tailed Hawk,Buteo jamaicensis,,Petra Clayton,04-03-2024,2024,3,4,1140,United States,US-CA-079,California,San Luis Obispo,Villa Creek Road,35.4836719,-120.9773589,Unknown ? 2,,Unspecified,,,,,,,,,S163757902,,,,,,Buteo jamaicensis,rethaw,Species,8312,,2,1,,2912,5184
615698632,Photo,Red-tailed Hawk,Buteo jamaicensis,,Petra Clayton,04-03-2024,2024,3,4,1140,United States,US-CA-079,California,San Luis Obispo,Villa Creek Road,35.4836719,-120.9773589,Unknown ? 2,,Unspecified,,,,,,,,,S163757902,,,,,,Buteo jamaicensis,rethaw,Species,8312,,2,1,,2912,5184
615698410,Video,Red-tailed Hawk (calurus/alascensis),Buteo jamaicensis calurus/alascensis,,Paul Fenwick,05-03-2024,2024,3,5,1706,United States,US-CA-053,California,Monterey,US-CA-Carmel Valley Village-336 El Caminito Rd,36.488478,-121.721213,Adult ? 1,Mechanical Sound,Not Used,,,,,Canon R5,Internal,100-500mm lens,,S163846513,,,,,,Buteo jamaicensis,wrthaw1,Group,8313,,4,1,,,
615698362,Video,Red-tailed Hawk (calurus/alascensis),Buteo jamaicensis calurus/alascensis,,Paul Fenwick,05-03-2024,2024,3,5,1706,United States,US-CA-053,California,Monterey,US-CA-Carmel Valley Village-336 El Caminito Rd,36.488478,-121.721213,Adult ? 1,Mechanical Sound,Not Used,,,,,Canon R5,Internal,100-500mm lens,,S163846513,,,,,,Buteo jamaicensis,wrthaw1,Group,8313,,3,1,,,
615698284,Photo,Red-tailed Hawk,Buteo jamaicensis,,Matt Yawney,02-03-2024,2024,3,2,812,United States,US-WA-025,Washington,Grant,Sentinel Bluffs,46.7840757,-119.9282813,,,Unspecified,,,,,,,,,S163475580,,,,,,Buteo jamaicensis,rethaw,Species,8312,,4,2,,2623,1785
615698259,Photo,Red-tailed Hawk,Buteo jamaicensis,,Erich N,24-02-2024,2024,2,24,1125,United States,US-UT-035,Utah,Salt Lake,Popperton Park,40.778149,-111.850137,,Flying,Unspecified,,,,,,,,,S162773946,,,,,,Buteo jamaicensis,rethaw,Species,8312,,2,1,,600,800
615698258,Photo,Red-tailed Hawk,Buteo jamaicensis,,Erich N,24-02-2024,2024,2,24,1125,United States,US-UT-035,Utah,Salt Lake,Popperton Park,40.778149,-111.850137,,Flying,Unspecified,,,,,,,,,S162773946,,,,,,Buteo jamaicensis,rethaw,Species,8312,,2,1,,600,800
615697773,Photo,Red-tailed Hawk,Buteo jamaicensis,,Brian Hicks,02-03-2024,2024,3,2,1632,United States,US-MI-125,Michigan,Oakland,Heritage Park (Oakland Co.),42.4769278,-83.3807194,,Flying,Unspecified,,,,,,,,,S163498056,,,,,,Buteo jamaicensis,rethaw,Species,8312,,3,2,,3200,2619
